Fighter,Gym Location,Latitude,Longitude
Bogdan Guskov,GOR MMA  American Top Team,25.977026,-80.308212
Dominick Reyes,Joe Stevensons Cobra Kai,34.472549,-117.340304
Azamat Murzakanov,K-Dojo Warrior Tribe,50.982506,7.009035
Alonzo Menifield,Saekson's Muay Thai,18.788366,98.99368
Jon Jones,Fight Ready,28.547344,-81.343407
Tom Aspinall,Aspinall BJJ,1.301122,103.849886
Ciryl Gane,MMA Factory,45.55401,8.07721
Sergei Pavlovich,Eagles MMA Moscow,43.707807,-116.438983
Curtis Blaydes,Elevation Fight Team,50.836905,-1.17521
Stipe Miocic,Strong Style Fight Team,34.409493,135.32037
Jailton Almeida,LG System,44.14688,12.45926
Marcin Tybura,Ankos MMA,43.192745,-0.611338
Serghei Spivac,MIR Production,48.903904,2.361993
Tai Tuivasa,TK MMA & Fitness,25.089844,55.153124
Derrick Lewis,4oz Fight Club,44.416004,8.715549
Jairzinho Rozenstruik,American Top Team,41.401486,-73.431107
Marcos Rogerio de Lima,011 MMA Team American Top Team,25.977026,-80.308212
Rodrigo Nascimento,American Top Team,41.401486,-73.431107
Alexa Grasso,Lobo Gym,29.57571,-95.11011
Zhang Weili,Bangtao Muay Thai & MMA,40.710549,-74.007548
Valentina Shevchenko,Tiger Muay Thai,7.856001,98.343302
Manon Fiorot,Boxing SquadMaccabi Nice,7.069646,125.604314
Julianna Peña,Gregory Boxing & Muay Thai,32.716502,-117.151861
Raquel Pennington,Altitude MMA,2.812907,101.797394
Rose Namajunas,Roufusport,43.034445,-88.00812
Erin Blanchfield,Renzo Gracie Academy  Silver Fox BJJ,30.980503,-97.3417
Tatiana Suarez,Millennia MMA Gym,28.488548,-81.430138
Yan Xiaonan,Team Alpha Male,2.182126,102.26126
Jéssica Andrade,Paraná Vale Tudo,-24.4313372627921,-51.6317605309439
Kayla Harrison,American Top Team,41.401486,-73.431107
Virna Jandiroba,Team Velame  Academia Fight House,6.608083,0.46726
Ketlen Vieira,Nova União Manaus,-4.595875,-42.853472
Amanda Lemos,Marajó Brothers Team,30.40204,-9.547788
Marina Rodriguez,Thai Brasil AS Team (Jiu-Jitsu),-19.996648,-44.008334
Mackenzie Dern,Checkmat  RVCA (2020–2023),60.793744,22.248444
Amanda Ribas,American Top Team,41.401486,-73.431107
Angela Hill,Alliance MMA,32.630035,-117.091345
Loopy Godinez,Lobo Gym,29.57571,-95.11011
Tabatha Ricci,Black House,-8.712209,115.173377
Luana Pinheiro,Nova União,-19.689968,-43.57897
Gillian Robertson,The GOAT Shed Academy,-37.553278,143.842827
Karolina Kowalkiewicz,Shark Top Team Łódź,34.36331,-84.48353
Maycee Barber,Team Alpha Male,2.182126,102.26126
Katlyn Cerminara,Renzo Gracie Combat Team,48.875237,2.3823
Karine Silva,Gile Ribeiro Team,29.825151,30.857819
Tracy Cortez,Neuro Force One,-23.633691,-46.542404
Jasmine Jasudavicius,Niagara Top Team,43.669629,-79.386412
Casey O'Neill,Xtreme Couture MMA,43.624799,-79.528626
Irene Aldana,Lobo Gym,29.57571,-95.11011
Macy Chiasson,MidCity MMA,-25.837608,25.609612
Mayra Bueno Silva,American Top Team,41.401486,-73.431107
Holly Holm,AKKA Karate USA (2000–2007),39.053907,-94.591151
Karol Rosa,Paraná Vale Tudo,-24.4313372627921,-51.6317605309439
Miesha Tate,Xtreme Couture,36.071495,-115.19367
Norma Dumont,Syndicate MMA,36.056956,-115.245147
Pannie Kianzad,Arte Suave,55.700679,12.530498
Yana Santos,Jackson Wink MMAAmerican Top Team,31.651861,-87.917366
Julia Avila,Outsiders Combat Club,48.877114,2.379376
Chelsea Chandler,Cesar Gracie Jiu-Jitsu,37.958406,-122.057402
Germaine de Randamie,CSA Holland,52.786796,-0.150504
